"Gene","Adipose_Subcutaneous","Adipose_Visceral_Omentum","Adrenal_Gland","Artery_Aorta","Artery_Coronary","Artery_Tibial","Bladder","Brain_Amygdala","Brain_Anterior_cingulate_cortex_BA24","Brain_Caudate_basal_ganglia","Brain_Cerebellar_Hemisphere","Brain_Cerebellum","Brain_Cortex","Brain_Frontal_Cortex_BA9","Brain_Hippocampus","Brain_Hypothalamus","Brain_Nucleus_accumbens_basal_ganglia","Brain_Putamen_basal_ganglia","Brain_Spinal_cord_cervical_c-1","Brain_Substantia_nigra","Breast_Mammary_Tissue","Cells_Cultured_fibroblasts","Cells_EBV-transformed_lymphocytes","Cervix_Ectocervix","Cervix_Endocervix","Colon_Sigmoid","Colon_Transverse","Esophagus_Gastroesophageal_Junction","Esophagus_Mucosa","Esophagus_Muscularis","Fallopian_Tube","Heart_Atrial_Appendage","Heart_Left_Ventricle","Kidney_Cortex","Kidney_Medulla","Liver","Lung","Minor_Salivary_Gland","Muscle_Skeletal","Nerve_Tibial","Ovary","Pancreas","Pituitary","Prostate","Skin_Not_Sun_Exposed_Suprapubic","Skin_Sun_Exposed_Lower_leg","Small_Intestine_Terminal_Ileum","Spleen","Stomach","Testis","Thyroid","Uterus","Vagina","Whole_Blood","VitalAverage","NonVitalAverage"
"DNAH6",0.245988,0.240325,0.0943882,0.105643,0.168782,0.107891,0.256148,0.465484,0.646682,1.47121,0.171918,0.210263,1.20884,0.962924,0.630205,1.00963,1.89544,0.726382,0.270432,0.182703,0.471497,0.0855418,0.20259,0.230675,0.45199,0.174889,0.231081,0.129635,0.0464019,0.109155,1.30686,0.0843221,0.0200754,0.418062,0.523892,0.354397,0.624218,0.172525,0.0148991,0.706927,0.849719,0.274686,3.84566,0.654892,0.158494,0.14595,0.198864,0.115326,0.273062,7.51053,2.74249,0.744182,0.156671,0.0171222,0.66129553125,0.645850638414055
"GNB1L",1.59231,1.56663,0.768629,1.95928,1.90168,1.74951,2.44066,0.877352,1.32825,1.08203,1.65256,1.62374,2.01594,2.00876,1.03912,1.00166,1.33457,0.948945,1.06769,0.831107,1.89971,3.00858,3.35113,2.78045,2.84647,2.01236,1.35974,1.70447,1.88361,1.73513,2.59032,0.651111,0.356374,0.676909,0.849916,0.526655,1.76408,1.40656,0.725559,2.62551,2.00753,0.691464,1.2743,2.16656,2.75071,2.83517,1.70432,2.93794,0.881795,2.41219,1.85947,2.55269,2.51246,0.973988,1.2239555625,1.87716683950617
"DRAXIN",0.0714104,0.0451357,0.0139552,0.0450618,0.059334,0.0241214,0.0463878,0.994431,0.783137,1.01149,2.03545,2.19161,0.786252,0.661893,0.412473,0.252886,1.30894,0.416411,0.370754,0.0918312,0.0884707,0.0299388,0.130974,0.0483372,0.0478441,0.103401,0.0729832,0.0507639,0.0288462,0.0548059,0.129721,0.0401479,0.0228409,0.0990033,0.1013,0.0200692,0.164888,0.234082,0.00729192,1.13761,0.0415946,0.0148458,0.029913,0.0820968,0.0926686,0.0973239,0.0770885,0.210182,0.0290673,0.705202,0.0469302,0.0507492,0.0453034,0.409136,0.7215896875,0.126214475830959
"ZNF71",4.49934,3.561,2.15328,4.74131,4.54697,5.55782,4.65602,1.8621,2.08669,1.91219,5.26817,5.22647,2.69048,2.77731,2.1338,2.2479,2.01289,1.67579,2.86656,1.92383,4.29173,4.32312,3.85799,5.53077,6.64291,5.3394,2.76075,5.32646,2.40197,5.54396,4.98307,2.02593,1.78254,1.51917,2.02251,0.458592,3.64502,2.82573,1.98704,5.45166,5.4593,1.06965,3.99138,4.46089,3.47256,3.75516,2.65983,3.51086,2.01695,5.26441,3.7598,7.67501,3.90515,0.858596,2.633604375,3.85491650522317
"C5orf24",24.6296,22.143,19.924,42.7182,39.5808,43.7782,25.5296,10.767,12.422,15.3739,49.6032,33.2696,11.9692,17.9775,11.7515,14.6754,16.6273,12.7458,24.8589,11.1422,20.3696,35.9662,15.1623,29.9952,30.2465,27.9915,17.9009,29.4375,17.5253,30.6073,29.693,9.84934,6.95558,13.3747,15.6594,14.6442,26.6213,18.2624,8.99377,28.0569,24.0226,6.22853,20.48,22.3463,14.3964,13.9649,19.0293,16.525,14.2485,16.5534,29.5649,36.2642,24.9257,1.59656,17.9131075,22.6567471604938
"ECD",21.3445,17.4751,15.277,21.2719,20.5517,25.4897,20.5793,6.54408,7.75279,10.4894,18.4496,15.3208,8.68556,10.8881,6.86809,9.27006,11.1927,8.39329,12.5147,7.48,20.851,24.6411,34.9465,24.705,23.5251,18.1209,13.2552,16.8254,15.7809,16.8174,20.2319,8.62918,5.74368,8.62752,13.2553,6.41928,17.9892,16.0328,7.65403,26.1889,24.3388,6.3911,18.7553,20.7918,18.564,21.0315,13.6876,15.6782,11.6961,27.5932,22.2063,24.9375,21.3322,6.77385,10.388201875,18.4552134995252
"MYH3",2.58977,3.04362,1.34865,4.5963,4.03056,5.95468,5.85629,1.45365,1.24359,1.75404,6.04378,6.20515,1.66624,1.35578,1.54901,1.56981,1.73991,1.55862,3.19755,1.9536,3.33462,1.37642,2.02573,9.20786,8.51706,5.58956,3.09728,4.28032,1.84958,4.15703,7.4481,1.03058,0.626844,2.02004,3.10201,2.55166,2.82254,2.50364,6.22009,4.87491,5.46953,1.77853,3.34365,9.72085,3.44201,3.81898,4.61425,5.33818,2.41363,17.163,8.61373,7.77823,6.70845,0.917169,2.235668375,4.7360156642925
"GSPT2",7.49663,6.80048,10.6562,8.33017,9.5085,7.74083,9.21832,6.36425,8.37501,7.57233,17.6697,15.0869,9.36153,12.3861,5.93883,12.8393,11.5289,5.82828,5.69211,5.59582,8.21315,16.9098,18.248,7.30784,8.84382,8.64042,7.21214,9.16955,2.74789,9.43461,11.7547,3.90004,4.24382,3.33652,8.78479,6.34894,6.9399,5.34002,3.76984,11.0357,10.1237,3.20182,13.3974,7.19442,3.07719,3.19509,9.29595,10.067,4.84692,29.6214,8.20163,10.0836,4.64135,0.969441,8.70767625,8.54769241452991
"NDC80",0.916494,1.21808,0.442177,0.874996,1.02921,0.958852,0.758472,0.0496092,0.0370618,0.0546876,0.0296775,0.0288267,0.0425091,0.0418438,0.0471256,0.0683443,0.0375638,0.0496,0.0938482,0.0589642,0.503641,12.4936,36.8154,2.72986,1.71097,0.446427,1.76159,0.737525,4.48154,0.57272,1.38537,0.246711,0.169683,0.374814,0.436468,0.180002,1.10301,0.698063,0.12884,1.61135,0.481067,0.12033,0.142243,3.15367,1.37589,1.36142,2.68036,4.8479,0.759398,16.5325,0.598674,3.48629,5.55027,0.927428,0.1349416125,3.01176335270655
"UBTD1",27.3321,30.0124,14.01,37.92,29.579,22.0536,22.9496,14.0252,15.658,12.8587,17.5785,19.3267,16.4014,15.7553,12.6453,15.2067,14.498,12.1409,18.3277,18.0731,25.4417,39.1642,2.05985,33.9761,37.7059,17.3032,8.06945,18.7636,12.3896,17.2617,31.1764,23.7416,21.3554,15.822,30.3569,12.0534,59.2203,16.4986,22.8752,20.4058,16.5991,6.20235,29.3574,25.2412,75.6035,79.3109,7.76493,18.1662,10.6926,142.622,31.8553,28.9913,31.0812,27.6616,19.1758,28.254964957265
