"Gene","Adipose_Subcutaneous","Adipose_Visceral_Omentum","Adrenal_Gland","Artery_Aorta","Artery_Coronary","Artery_Tibial","Bladder","Brain_Amygdala","Brain_Anterior_cingulate_cortex_BA24","Brain_Caudate_basal_ganglia","Brain_Cerebellar_Hemisphere","Brain_Cerebellum","Brain_Cortex","Brain_Frontal_Cortex_BA9","Brain_Hippocampus","Brain_Hypothalamus","Brain_Nucleus_accumbens_basal_ganglia","Brain_Putamen_basal_ganglia","Brain_Spinal_cord_cervical_c-1","Brain_Substantia_nigra","Breast_Mammary_Tissue","Cells_Cultured_fibroblasts","Cells_EBV-transformed_lymphocytes","Cervix_Ectocervix","Cervix_Endocervix","Colon_Sigmoid","Colon_Transverse","Esophagus_Gastroesophageal_Junction","Esophagus_Mucosa","Esophagus_Muscularis","Fallopian_Tube","Heart_Atrial_Appendage","Heart_Left_Ventricle","Kidney_Cortex","Kidney_Medulla","Liver","Lung","Minor_Salivary_Gland","Muscle_Skeletal","Nerve_Tibial","Ovary","Pancreas","Pituitary","Prostate","Skin_Not_Sun_Exposed_Suprapubic","Skin_Sun_Exposed_Lower_leg","Small_Intestine_Terminal_Ileum","Spleen","Stomach","Testis","Thyroid","Uterus","Vagina","Whole_Blood","VitalAverage","NonVitalAverage"
"GPNMB",141.922,113.558,9.18275,176.964,121.328,127.727,67.8994,11.5348,11.2011,7.32475,2.04748,1.5681,7.37212,10.4596,5.17679,4.46307,6.35236,5.11625,19.1033,4.93355,120.867,165.038,2.67119,316.157,270.06,70.7808,42.5281,65.5362,56.5037,41.9575,106.492,46.7028,39.8083,8.02148,8.11332,2.10348,71.8344,52.3771,5.76995,72.0469,39.8244,4.05212,12.7728,23.6014,299.508,250.78,34.7633,10.011,10.6325,11.5826,58.2712,144.04,145.111,0.550535,15.937423125,83.9818678276353
"FMN1",1.37813,1.25095,0.541135,1.09562,0.890177,0.415355,0.932547,0.235797,0.925759,0.142518,0.0887022,0.0967044,2.02884,2.53269,0.235071,0.424381,0.11742,0.104898,1.29298,0.490316,1.63307,2.1597,0.0413508,0.864498,1.32233,0.87773,2.48925,0.825082,1.06522,0.67599,0.916232,0.264354,0.148886,0.739626,0.709584,0.0710663,2.83434,2.49225,0.237603,0.890212,0.200727,0.375951,3.10566,1.15847,2.63335,3.77842,1.81402,0.890506,1.53026,5.85188,1.92941,0.484754,2.4246,0.48271,0.7477285375,1.34217098390313
"LINC00511",0.093161,0.0567052,0.0195999,0.179469,0.301649,0.206001,1.18007,2.07869,2.21128,2.16412,2.71774,2.54762,2.00599,2.2475,1.99225,2.02046,2.36099,1.65106,2.12189,1.71391,0.14847,0.802606,1.86115,0.359932,0.569893,0.633477,2.28442,0.309634,4.07682,0.325384,0.276717,0.180113,0.03035,0.214374,1.24152,0.0317324,0.522124,3.07722,0.0187449,4.43103,0.0579592,0.79158,1.55963,1.07423,5.72162,6.87531,2.18515,0.0398679,1.09093,3.10983,0.136037,0.106209,3.89661,0.01652,1.7853804375,1.30267593755935
"TMEM117",3.62923,2.95583,2.64672,6.45153,5.24258,7.55368,6.14773,2.26855,2.64603,1.92564,1.83011,1.88242,2.70961,3.6187,2.41736,3.07859,2.58533,1.74095,6.49438,2.93383,3.67985,4.8173,2.94956,7.92518,6.67209,6.17266,4.0428,4.56238,8.91832,4.56491,4.31299,3.57287,2.15309,1.95749,1.5038,1.30491,2.17353,4.18837,2.14749,11.4798,4.12948,1.27601,6.45748,5.05846,9.34841,9.53339,4.86964,1.58532,2.63973,4.58129,3.93326,5.78635,9.84646,0.16721,2.751936875,4.85337793922127
"GPM6B",5.71979,3.80359,1.97564,11.0587,16.6182,7.87884,11.4958,254.191,228.672,234.206,107.629,136.372,219.725,234.278,235.457,149.468,201.738,191.155,634.756,214.079,11.7462,12.7841,1.48015,28.4076,42.1144,30.2047,8.58259,29.158,4.6803,27.9964,8.94623,8.53029,1.59768,1.96109,5.44534,0.427152,22.3631,8.91245,1.16651,236.195,5.50694,1.45132,10.5013,24.8154,6.6398,7.56426,4.80337,14.3335,4.21033,3.10106,7.80399,6.29095,19.3961,0.176279,192.138566875,18.0525415360874
"SGCD",3.07514,2.00078,3.06427,20.2038,11.7098,26.6293,4.17702,1.91657,1.86198,1.11128,0.563607,0.795999,1.96399,1.97059,1.64895,1.58509,1.1278,0.915159,6.5933,1.87126,2.53497,4.95147,0.0445689,4.09301,5.12709,9.01359,2.85275,14.1891,1.00587,12.616,3.88361,12.7824,12.2382,0.323907,0.243632,0.301743,5.58721,1.63198,15.2319,7.67477,8.64352,0.165648,1.85699,2.95894,1.26693,1.60885,1.83102,0.954025,1.50393,1.11228,5.84744,7.23333,2.99247,0.031942,3.4083365625,5.10771111562203
"BNC2",4.82022,5.4534,0.88297,3.11099,2.58578,2.69839,7.73024,0.0884427,0.0761829,0.0832949,0.0481943,0.0717523,0.096303,0.0724282,0.151582,0.171499,0.075532,0.0706196,0.412855,0.381992,3.63827,11.8334,0.0152562,18.0327,17.0657,14.3317,4.92544,9.67805,1.75065,10.2116,22.5198,1.4448,0.393725,1.87841,1.18186,0.0812388,3.49598,1.33611,1.45582,18.5374,34.6849,0.201094,1.26826,3.67364,2.14833,1.9004,2.90058,0.399365,1.39208,5.28287,2.10593,38.3539,6.8813,0.0976932,0.44594893125,6.97751696528965
"ST3GAL6",6.38443,4.34538,6.14994,6.94419,5.02103,3.59648,1.99259,3.72175,3.44742,3.42102,11.2147,12.2069,4.85839,6.04038,3.80411,4.73687,2.22594,3.5129,6.71254,4.50943,5.22587,0.85882,2.37032,2.82729,3.7836,4.27164,2.20161,3.23348,1.98492,2.92438,3.55834,6.44271,8.97929,6.37595,6.97727,15.4819,5.78085,7.85433,2.20884,10.7669,2.2949,1.74498,5.69968,3.58282,10.8738,11.0822,1.80853,2.58721,4.13744,1.72953,4.98172,2.89134,2.11642,1.59984,5.72595,4.59993364197531
"ERBB3",0.869674,1.75695,0.575565,0.674564,3.47476,1.22363,10.815,11.7795,4.86235,12.0758,2.68944,3.46269,7.59647,6.1788,17.3715,9.67775,7.03409,15.5665,47.2242,18.5517,20.3061,0.144179,0.0843913,13.633,12.4136,19.1222,42.5055,13.9496,62.6499,13.9803,6.82262,3.85496,0.811621,15.519,13.1685,33.1959,18.2674,60.197,0.55758,116.819,1.13003,20.0106,2.01777,40.4395,66.6502,71.9048,39.4891,0.16088,45.5726,2.7562,10.0195,2.20281,43.2725,0.0737043,11.6877981875,21.2467871267806
"FHIT",2.08499,1.97445,7.67501,1.81705,1.56888,3.2517,2.96958,2.63852,3.02224,3.27267,1.54548,1.82198,3.24896,3.45183,3.14443,3.36323,3.23284,2.9259,5.46472,4.17253,3.3276,0.610822,3.65634,1.56843,2.87423,2.59717,2.61416,2.64337,1.62256,2.77546,2.57086,2.78888,2.11383,4.97235,6.08499,1.71261,2.5913,3.83549,0.922051,2.65011,3.88406,2.1101,4.45825,3.05732,3.41459,3.03074,2.39488,3.10466,2.65329,4.11984,7.35601,2.66871,2.20527,1.49011,3.04995875,3.00894798433048
"PMEL",0.841148,1.10069,0.593307,1.1006,0.776572,0.665167,0.775778,0.0691338,0.065154,0.0717507,0.101031,0.133659,0.082177,0.0676306,0.0768815,0.078148,0.0724592,0.0578276,0.238988,0.0747342,2.53023,0.581277,1.54789,7.05091,2.18078,0.504738,1.19763,0.564192,0.80353,0.606647,1.6474,0.369992,0.162244,0.920914,1.36941,1.88064,1.01757,1.79124,0.0989785,0.698674,3.31613,1.18343,0.831697,1.164,36.4384,38.1522,1.732,0.817976,1.01419,7.58259,1.6125,2.69275,1.51011,0.169767,0.1712112875,3.39756596301045
"MYO10",10.6403,9.97442,2.26682,5.23017,8.58039,18.2754,4.66712,20.4666,16.7091,24.0992,3.5536,6.21284,20.7768,15.9652,14.8376,9.29374,16.5759,20.4769,11.6539,10.8219,9.55544,22.7657,0.0993261,8.54481,7.89254,3.99645,9.61188,3.78335,9.28167,3.21965,5.43745,1.67433,1.12206,7.82318,12.0733,1.92155,26.2349,8.46851,2.57005,9.22669,15.9009,9.26083,12.7617,7.67974,16.1088,17.8315,8.68048,10.2064,17.7805,17.8092,27.5394,6.23718,9.80631,0.362337,13.779660625,9.60750424525166
"RAD51B",1.14905,1.07669,0.714928,0.804153,1.08374,0.818707,1.18602,0.385961,0.316706,0.425121,0.172529,0.212584,0.334873,0.310136,0.39566,0.408289,0.377831,0.353045,1.25518,0.559871,1.64841,1.95688,3.84824,2.32912,1.94825,0.96611,0.756335,0.573907,0.994491,0.522276,1.09734,0.271315,0.135542,0.526012,0.864871,0.218667,1.04271,3.51732,0.164342,1.47618,3.26968,0.248051,0.909921,1.30936,1.59812,1.45799,0.890147,1.04769,0.494326,0.872128,1.24065,4.89348,1.64,0.509464,0.4348345625,1.32536794064577
"DNAH14",0.156435,0.172601,0.547992,0.0349004,0.102585,0.0333972,0.381192,0.125599,0.138513,0.0406592,0.0649022,0.0821326,0.158053,0.148738,0.105871,0.443367,0.119738,0.0194026,0.410748,0.136071,0.44875,0.538255,0.0448523,0.478942,0.495755,0.208709,0.2643,0.310071,0.150019,0.39431,0.287224,0.144082,0.0353656,0.402387,0.819109,0.466816,0.384963,0.455364,0.00988626,0.188374,1.25779,0.621729,2.32115,0.886558,0.111964,0.102552,0.145524,0.123744,0.392481,7.59882,1.19465,0.148508,0.288316,0.0433856,0.159887825,0.592200893637227
"OSBPL1A",29.5319,36.8967,18.1656,18.2261,26.2729,27.0016,20.6792,25.6583,31.0558,21.1268,8.91884,9.66079,39.4644,52.5036,27.4765,19.8795,16.0968,22.1733,62.9851,34.6951,30.0109,14.6975,0.0863689,30.7417,37.601,27.8341,16.2326,24.0006,7.94882,24.6747,22.1287,13.0529,11.2256,7.93665,5.83228,2.28784,15.0923,19.257,28.8016,36.7335,18.9255,3.60159,15.2991,13.3103,10.094,11.5239,12.3417,4.89654,9.49701,9.18657,20.285,30.0767,18.7777,1.58468,25.691601875,18.2929600282526
"DST",21.589,15.0288,20.118,43.6203,43.5998,56.0787,34.8362,21.9653,19.0191,25.605,27.4046,32.2856,25.6209,23.0346,21.7805,22.3296,24.3662,21.8174,44.0512,31.1608,33.1282,41.1106,14.0039,76.6908,47.8651,59.1062,22.8449,42.9555,22.1494,42.2716,34.5087,20.4256,18.7945,6.289,8.0971,9.04268,39.4509,33.7858,21.3994,56.3209,31.6747,3.5208,19.8359,31.0088,61.6294,59.795,12.2795,8.86665,10.7312,10.6574,11.716,58.4928,45.3186,0.112661,26.1944875,30.8088847602089
"LSAMP",1.1635,3.42639,6.88763,0.588001,2.02467,0.912537,3.6936,26.9683,36.9413,33.0415,55.1436,50.0317,34.6169,43.8941,24.0307,29.7216,31.3833,23.077,15.9333,23.2079,2.00716,0.318766,0.980243,7.79492,14.5173,17.1917,6.24627,1.52811,1.23683,0.920014,3.07507,1.22263,0.811995,0.274502,2.54317,0.0804625,13.3116,0.900746,0.0346405,6.4463,3.86025,0.700418,5.84977,12.5464,1.81379,2.73761,2.87443,0.522548,1.28091,2.20111,1.31396,2.94512,7.51563,0.0148966,27.7085890625,3.63088937701804
"CABLES1",14.5871,13.9925,2.30922,16.2269,6.57201,4.36531,5.05011,25.3911,29.0297,39.5508,8.8505,13.768,31.9601,27.9137,11.7079,16.7011,38.258,32.5667,2.56101,19.6917,12.7119,4.06703,26.8729,6.14153,8.23802,2.61767,2.49944,3.90692,4.34174,2.47033,8.4445,2.19531,0.660756,7.53409,7.89045,3.58844,11.407,6.38178,0.616285,11.9793,3.63312,1.23521,4.27004,4.10403,13.9623,12.0919,3.44632,3.65593,6.24417,3.44402,13.3689,8.37895,7.14185,0.151179,19.513336,7.16122984140551
"PHF14",10.3622,10.0147,8.95919,12.3683,11.9629,12.3114,11.6947,7.19437,7.3239,6.9043,12.6723,10.2316,7.20732,9.44103,7.60045,8.43111,7.28951,5.79037,7.95283,6.12553,10.6415,13.7024,12.34,15.1699,15.0418,10.432,8.2669,9.78844,8.86213,9.73757,13.21,3.80579,2.55293,4.76827,7.70881,4.31507,9.88951,9.02509,3.86629,14.0913,16.3733,3.62218,11.4496,11.3799,9.69727,9.30659,8.56573,8.99808,7.14297,11.8372,11.5765,16.6305,11.4047,1.49441,7.525803125,10.193257977208
"IMMP2L",6.63458,6.79425,5.68043,8.88772,8.35348,11.1778,7.10114,1.71124,1.99717,2.03946,2.65845,2.34804,2.09885,2.41827,1.59803,2.23094,2.0504,1.47832,1.99809,1.86633,7.41134,4.50669,3.51722,7.61759,7.97707,7.17378,3.3269,7.38087,2.71932,7.14961,8.64848,2.30599,1.90122,6.10173,10.9972,3.01261,4.48378,3.89904,4.29639,9.53719,10.1649,2.2347,4.33481,7.62489,4.63637,4.28705,3.10354,2.52823,3.82869,4.79268,10.5513,8.17907,5.80605,0.252492,2.19903625,6.08151979582146
"RGS12",11.7895,7.87259,6.61106,8.47866,8.20035,8.63773,14.2675,12.0928,17.2104,13.8712,24.2956,26.178,22.2573,19.9494,9.36853,9.24268,12.8378,12.2719,7.66036,7.17276,12.0627,5.59212,1.45546,24.2886,20.199,10.3744,6.9759,11.8657,33.9594,10.317,15.5668,3.38085,2.67967,8.28184,8.85701,8.74232,16.258,10.7799,6.01577,16.6656,19.0022,2.30901,17.3656,23.9382,26.8194,27.8956,7.15284,7.41815,5.61784,17.1986,12.9534,15.9262,30.566,0.843076,13.545453125,12.9744509401709
"SGK3",6.62989,5.79935,4.06067,8.39272,6.9914,6.89975,4.43002,5.99287,5.36777,11.1407,2.43129,2.3022,5.08196,5.32893,6.33893,5.55532,11.6626,9.11551,23.4422,9.13693,8.85026,5.27554,1.58868,10.1341,9.95123,4.85258,5.58053,4.38813,4.09131,3.96371,8.01167,2.32644,1.35195,4.26539,3.16272,4.36269,8.31574,5.57693,1.60295,10.0938,8.0948,5.2098,9.43077,7.44006,9.40225,8.73369,5.87144,5.88662,4.50977,8.35036,10.4158,7.25387,8.21394,2.2564,7.18070875,6.3230288651472
"MICAL3",9.56071,8.09214,7.79005,13.5753,13.7657,18.8475,13.2658,6.91889,8.3723,8.07091,53.1752,60.1588,13.9499,11.0701,8.26541,9.08836,8.20722,6.90338,13.3761,7.39455,10.0434,8.14288,2.84783,19.7123,18.9775,25.2015,13.7516,18.5126,6.71959,20.1482,27.7761,9.71817,8.9747,5.90273,8.38038,8.34335,6.69553,5.96622,4.7434,27.6066,21.0167,3.71704,12.2483,15.761,8.52689,8.18167,13.1626,12.5717,4.368,19.7078,14.1661,30.8412,12.7468,0.934554,15.02122,13.0577611063628
"MYO5A",16.5958,9.31288,8.26692,8.77345,10.5629,8.36021,8.55634,18.5611,33.7633,17.5241,68.2903,58.9513,36.2424,53.7847,15.2767,21.9912,24.0511,13.5524,16.9042,15.4692,9.03777,18.2518,19.3216,10.5419,10.1632,10.1581,5.46997,8.5745,4.17416,8.70162,8.02141,4.20137,1.5967,2.9315,3.63245,0.8532,9.52977,6.35941,3.69696,18.788,8.53183,2.33926,17.029,7.16764,11.0769,12.5758,7.70927,8.87951,3.40095,6.81755,8.47355,10.8619,10.0823,5.27349,25.605615,9.05629859449193
"HIBCH",11.6165,13.0308,39.3694,26.9902,14.1826,11.0966,14.2557,9.18218,8.10065,10.4295,7.54719,7.44241,8.08578,8.64996,8.0515,10.5179,9.25006,8.61301,12.1746,11.6492,13.0042,10.8547,16.7969,27.1393,22.6606,12.9024,15.9574,10.3234,21.4483,11.0189,12.609,9.08269,5.94789,19.5678,16.911,22.5954,10.4474,10.3627,8.63127,14.6374,12.9644,7.50927,15.9855,14.478,13.2058,12.4938,11.0824,10.4827,10.247,21.8621,18.6589,17.2636,22.1976,1.83194,9.073245,15.4309464957265
"FARS2",10.0734,9.59747,10.7146,10.8392,11.0956,12.2244,10.6233,3.65404,4.15078,5.5417,6.66959,6.04679,5.69546,6.13875,3.13496,4.18714,5.22321,4.10526,4.38519,3.47308,11.4495,13.6112,11.8715,12.5427,11.5415,10.2244,8.66641,9.30514,8.39298,9.78118,12.1059,6.9829,7.24344,5.94947,8.34248,4.29962,11.5607,8.00275,7.56486,12.7573,9.71662,3.70833,12.101,8.95617,11.3715,11.4397,8.14372,10.335,7.85957,15.4205,17.5746,12.7215,11.1822,3.08811,5.512061875,10.1015854178538
"EXOC4",17.5361,14.6819,15.3306,19.2646,17.0422,19.6616,17.1142,7.53687,9.5134,9.79189,19.6277,17.8451,12.0105,12.5051,7.52792,9.36269,9.24803,7.75073,10.6741,7.87631,16.4459,30.0026,21.0945,19.9399,20.2821,16.7602,12.4996,16.0483,16.4076,16.1163,17.9742,7.07353,4.60595,5.9811,7.1241,4.09017,16.2899,13.6781,14.8447,21.0073,24.2194,8.31396,18.0444,14.8434,20.4969,21.5358,11.4296,14.4817,10.8278,16.25,18.2941,22.3131,19.9189,4.99759,10.5774825,16.191091320038
"EHBP1",30.7182,23.4089,12.5638,13.8731,23.3522,20.7625,22.4956,13.463,16.9997,13.2954,41.6424,31.1397,17.8104,25.3673,11.8185,16.4451,13.4633,9.56678,12.1108,14.3344,22.0016,48.3686,14.213,37.0305,36.8733,49.0072,19.343,31.318,23.8085,36.1664,33.342,7.63027,3.16237,6.83135,6.87644,12.3968,12.8112,16.2819,4.7954,119.222,45.8655,4.77477,15.6172,15.8272,14.8708,15.0745,10.4152,5.43902,8.28131,36.3589,17.2835,42.2232,27.132,0.808046,16.31628875,24.2816902184236
"HIBADH",65.1488,56.9085,136.111,42.93,45.9027,55.6482,58.5477,17.3172,19.0771,22.8698,30.6421,26.5144,19.4565,21.9328,14.3682,21.6913,22.3312,18.7879,21.1101,25.5835,60.2449,74.4329,33.0626,75.5857,68.17,68.2138,41.7772,49.1022,17.0982,51.6456,59.5941,39.8286,40.5864,66.5977,99.5055,66.0866,31.3641,39.0164,60.6832,51.52,56.1791,15.4433,42.8294,52.7955,28.2272,30.0591,29.9013,23.8562,37.5166,51.2115,64.2811,74.9845,51.791,2.914,24.591325,52.5627933048433
"CAPN3",17.7202,14.2993,9.05361,23.5208,23.1549,21.0734,18.5049,22.9004,8.91019,29.2969,15.7967,18.1938,17.351,14.0664,37.3737,24.4242,16.5144,38.5389,142.863,56.3572,20.0836,6.27847,6.01116,24.1622,31.419,18.7044,16.6592,18.8903,13.6602,16.8684,29.5327,9.66493,4.7167,22.4804,29.1803,15.1637,32.9282,20.1774,263.326,32.5077,27.0289,4.29398,20.1004,24.5651,27.8954,26.9322,19.5809,26.5529,8.04336,49.5408,21.5857,25.764,22.8513,11.2843,30.61853875,27.0915137796771
"CTNND1",96.337,87.1268,53.9581,74.1795,77.0638,76.2593,84.0379,16.1903,19.311,17.6593,36.0838,39.1949,28.4807,27.1751,16.1086,18.5139,16.7524,13.5868,26.2482,17.0558,116.167,89.6552,37.3476,105.199,110.538,80.8675,104.013,65.707,224.554,64.6497,97.1517,31.7147,19.5514,50.984,81.5911,40.5057,125.898,133.198,14.6582,113.495,80.1183,54.739,74.4313,113.045,155.949,157.806,89.7199,63.1415,87.0825,73.7382,159.039,122.554,163.309,2.77396,29.34530625,91.0197135327635
"SNCA",3.25106,5.23272,1.12321,2.23665,3.86368,1.72196,3.48702,38.2467,75.0373,23.656,106.098,73.9259,58.8223,105.954,30.3309,32.2863,34.5116,19.7532,42.5961,34.1163,3.34109,0.119445,0.0737951,11.6375,12.0932,11.4304,3.32232,6.90516,2.4051,6.52992,5.60748,2.42077,0.902754,2.67574,2.09973,0.293484,7.01316,4.96804,0.162111,66.9951,13.6803,0.289834,13.0872,7.35519,6.11674,6.28937,2.02729,3.53206,1.03561,1.27251,4.64225,21.0875,10.1403,33.4824,42.85445525,7.78464723860399
"MAGI2",1.51917,1.03703,1.02745,2.24838,3.22824,5.86133,1.68197,3.404,3.88561,4.54032,4.2095,4.24671,4.33734,5.21948,3.26537,3.40647,4.05677,3.8559,4.09769,2.88749,1.21573,0.87652,0.0232782,1.70229,2.0529,1.41639,0.710633,1.69028,0.324829,1.80278,1.90699,0.473662,0.22328,0.906646,0.979699,0.155989,0.959287,0.527809,0.230313,4.7378,2.30511,0.223906,2.87025,1.93611,0.376014,0.473503,0.524624,0.598129,0.422756,1.1319,2.11367,1.7906,1.05726,0.010216,3.3168049375,1.42758122507122
"TM7SF3",23.8872,25.8667,42.3557,51.0547,42.1656,34.7758,29.1784,11.2739,12.6515,13.5205,13.5202,13.3124,17.1997,18.5606,11.2019,13.8147,14.0992,10.89,20.781,12.5873,23.6313,38.9444,62.0336,26.2454,26.4097,25.1915,23.0227,29.0696,45.0998,23.8539,28.4975,10.574,5.79359,29.0565,29.0883,22.467,33.3546,38.037,5.48347,41.8599,31.1875,35.8326,29.7134,26.7182,30.9928,30.2912,25.4237,25.7417,23.9058,28.3615,29.9095,31.9415,37.9686,8.7007,14.570943125,30.5086303133903
"MITF",16.4952,7.57751,3.38294,8.59269,7.42366,15.6028,13.0757,1.60026,1.11147,1.75345,0.640631,0.822392,1.21287,1.29446,1.84774,1.36611,1.55527,1.92285,5.91174,2.79128,11.8787,7.51375,0.0631054,70.7649,58.0419,22.9,8.49784,21.4596,2.78916,24.395,12.474,8.74086,9.03867,6.02139,8.6677,0.666486,9.27484,4.76741,25.9372,9.00942,16.3173,1.45034,4.17822,8.13244,7.91937,9.34192,4.79971,1.43637,7.49601,1.93252,7.6068,57.603,19.8602,0.323731,3.1803058125,13.5102870251662
"ZKSCAN1",22.5644,19.2147,27.4971,23.7425,21.852,19.7725,23.6241,11.9441,12.0549,13.7216,25.4192,23.917,16.0751,16.0161,14.433,14.8213,13.9535,12.5336,28.6876,17.49,26.987,38.8382,29.6855,33.9172,36.6516,24.5936,25.5755,22.5329,28.5576,21.4295,28.7592,9.46673,6.21949,10.594,13.9017,34.9924,22.415,41.2871,8.37605,35.7934,31.8869,18.103,22.4187,44.4726,35.0901,37.0413,23.2132,21.9788,27.1872,22.1999,24.5706,33.1087,35.3794,4.08741,16.19801375,26.277509031339
"WDPCP",2.12222,1.71529,1.03869,2.203,1.76826,1.92261,1.28576,0.623299,0.734333,0.997182,1.52495,1.403,1.01041,1.10107,0.827749,0.907676,1.19542,0.780403,1.46476,0.700184,1.925,1.47831,1.4925,2.29665,2.22406,1.29171,0.677005,1.00002,0.565356,0.935653,1.92712,1.19201,0.959182,0.739322,0.862853,0.344532,1.52424,1.098,0.846757,2.3603,2.6439,0.419809,2.04414,1.19034,1.5256,1.56642,0.816347,0.922925,1.0404,2.48174,1.94187,2.35396,1.3186,0.216348,1.05911675,1.43406059021842
"HDAC8",5.93141,5.4916,10.068,7.45213,6.62464,7.10426,6.99813,3.86967,4.5798,3.54117,10.2745,8.33764,5.13804,6.48581,4.02068,5.15657,3.6092,3.11865,5.08695,3.67575,6.14677,8.42472,8.01954,8.76829,9.09711,6.31092,4.76322,5.84323,4.85092,5.73996,7.17534,3.04012,2.55365,4.15769,5.83447,3.37131,6.17343,6.35148,2.513,6.97968,9.03856,2.53795,9.43197,7.71109,4.88589,4.86192,4.7649,5.05175,4.57197,2.71811,9.10849,8.4946,7.14597,1.21792,4.916351875,6.18917458689459
"TRIM2",6.7755,6.41288,9.31651,9.3943,8.48825,8.69832,15.2096,31.5353,34.959,31.6892,71.9264,53.3911,33.7838,48.9897,44.8415,37.8834,28.9864,28.8871,77.5208,36.3,9.05004,9.06312,0.428042,19.1246,17.4494,11.7023,16.1527,9.64427,7.63462,8.07527,15.2137,4.33645,2.38778,8.92772,17.6576,3.368,7.62048,27.1091,1.10723,14.262,15.2542,5.7139,27.6416,14.9847,6.63681,8.37724,13.1418,9.30229,19.2518,1.8255,34.745,14.6455,14.7674,0.0819981,35.939900625,11.9372996037512
"BCAS3",8.07138,5.48206,7.75182,12.7793,11.337,15.2262,10.7998,3.78868,5.72259,4.93256,9.66688,10.2727,10.2065,9.55881,4.24382,5.28617,5.12853,4.39452,7.1883,4.80086,7.42485,4.84351,3.03643,9.00173,9.36595,8.41258,4.64314,8.46612,5.90138,8.29314,8.54918,3.73906,2.72824,4.13845,4.30598,2.53301,10.2451,6.17422,5.7798,11.4104,6.83822,2.0993,5.82644,8.84413,9.30906,10.4135,4.81047,5.95962,5.24773,13.0507,8.63,9.85093,8.40304,3.82891,6.3689575,7.53944668566002
"LONP2",24.4865,21.649,23.2999,27.4366,24.5205,27.0746,30.2813,11.0671,13.9908,15.0217,28.4143,29.5765,18.3671,18.9183,10.9632,13.6764,15.6264,11.3219,13.6466,11.8894,26.8779,32.2215,31.3669,33.0084,36.2332,26.8342,19.12,27.5049,20.5996,28.1224,34.8943,15.5489,12.1173,10.9666,14.6132,32.6897,23.9965,25.0505,15.3135,33.9219,43.6761,12.7394,38.9042,32.311,26.9881,27.6943,22.0832,18.5577,17.5831,13.9054,46.1665,35.9895,28.1688,6.73067,16.5089,26.2304469373219
"TMEM241",3.10489,2.86855,1.33612,3.04981,2.70645,1.92136,2.16405,1.39068,2.1139,1.851,1.0519,1.06805,2.83105,4.18529,1.37708,1.54796,2.77995,1.37952,1.43478,1.05895,4.58931,5.38251,5.79566,3.79535,3.75746,1.72593,1.58189,1.7076,3.72956,1.67819,2.57041,1.21455,0.582709,1.21969,1.3422,1.36163,3.96463,4.26047,0.59171,3.73192,2.99377,1.31286,3.92916,2.18598,4.41087,3.75767,1.64303,2.51139,1.17363,1.56958,2.77357,3.71792,4.093,0.808154,1.8644999375,2.70026767283951
"LYPLAL1",13.5713,9.31534,22.6325,13.131,13.2528,13.9562,12.4749,9.51754,9.32327,9.2211,9.53753,7.82798,7.56885,9.73256,9.27834,11.6341,9.4146,8.36581,21.6806,12.109,12.2882,13.5058,21.9835,17.0151,16.5411,11.2057,7.30439,9.72924,11.1819,10.2166,12.429,10.0599,11.7567,14.7288,22.2953,8.42477,9.81442,9.99189,7.01747,17.5887,16.2581,6.85309,15.9044,14.3489,11.9825,12.4315,10.4692,9.80548,6.37129,12.6909,17.9131,15.5492,12.5119,2.40368,10.42764375,12.8048209876543
"GNG7",2.76112,4.52486,8.05861,6.47345,5.21205,2.22596,13.8527,74.4639,78.2715,468.509,62.1262,71.7294,89.5136,82.118,80.8497,51.159,455.94,422.324,161.174,71.3168,6.9011,1.07904,31.7944,9.82225,12.8508,11.8979,8.37191,17.8059,5.7763,19.0669,18.1295,21.8395,15.764,7.93795,11.659,2.63956,8.0268,16.0124,1.87784,10.9646,26.4815,4.32523,33.3969,15.2732,3.94054,4.30756,19.0674,32.0436,8.37381,20.6414,13.0058,19.0286,5.16644,5.2963,138.4453375,12.7528804843305
"BICD1",3.30564,2.25383,1.32691,5.46937,4.85216,4.56569,2.94211,2.08214,3.02879,2.26248,18.939,16.9083,3.39166,4.4812,2.35518,3.4348,2.17195,1.68477,3.13307,2.4527,2.5306,4.92468,4.85699,3.8642,5.55445,2.85434,1.49607,2.83175,0.798366,2.57538,5.31195,1.42563,0.777843,1.93687,2.92911,0.219307,3.59273,1.33849,1.06499,16.9886,16.7466,0.385619,5.61711,3.0925,0.841403,1.11798,2.18841,5.16149,0.758269,1.79176,4.7338,5.41616,2.29253,0.226345,4.5076401875,3.61634512725546
"PLEKHA5",6.49503,5.19172,19.6512,7.20951,5.35815,7.75088,16.6209,2.22647,3.5223,4.96083,7.53672,6.4521,5.62119,6.5749,2.78393,4.31004,5.12808,3.01213,3.43449,3.24126,7.19154,6.68917,0.0352151,21.7665,23.0907,5.88597,5.41428,15.5612,9.62636,16.3345,12.3027,8.653,5.69922,6.10982,5.36174,2.75647,7.09352,7.94108,0.427627,6.43226,18.3199,2.87954,6.55234,8.88372,9.25971,9.88702,5.00353,1.10969,6.5385,8.00666,8.5058,16.5315,16.0953,0.104075,5.01563625,8.88829514268756
